uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
AL,São Miguel dos Campos,57240-000,57249-999,Codificado por logradouros,Total do município
AL,São Miguel dos Campos,57240-001,57249-999,Codificada por logradouros,Exclusiva da sede urbana
AL,São Miguel dos Milagres,57940-000,57944-999,Não codificada por logradouros,Total do município
AL,São Sebastião,57275-000,57279-999,Não codificada por logradouros,Total do município
AL,Satuba,57120-000,57129-999,Não codificada por logradouros,Total do município
AL,Senador Rui Palmeira,57515-000,57519-999,Não codificada por logradouros,Total do município
AL,Tanque D'Arca,57635-000,57639-999,Não codificada por logradouros,Total do município
AL,Taquarana,57640-000,57659-999,Não codificada por logradouros,Total do município
AL,Teotônio Vilela,57265-000,57269-999,Codificado por logradouros,Total do município
AL,Teotônio Vilela,57265-001,57269-499,Codificada por logradouros,Exclusiva da sede urbana
AL,Traipu,57370-000,57379-999,Não codificada por logradouros,Total do município
AL,União dos Palmares,57800-000,57819-999,Não codificada por logradouros,Total do município
AL,Viçosa,57700-000,57719-999,Não codificada por logradouros,Total do município
AM,Alvarães,69540-000,69549-999,Não codificada por logradouros,Total do município
AM,Amaturá,69620-000,69629-999,Não codificada por logradouros,Total do município
AM,Anamã,69445-000,69449-999,Não codificada por logradouros,Total do município
AM,Anori,69440-000,69444-999,Não codificada por logradouros,Total do município
AM,Apuí,69265-000,69279-999,Não codificada por logradouros,Total do município
AM,Atalaia do Norte,69650-000,69659-999,Não codificada por logradouros,Total do município
AM,Autazes,69240-000,69249-999,Não codificada por logradouros,Total do município
AM,Barcelos,69700-000,69719-999,Não codificada por logradouros,Total do município
AM,Barreirinha,69160-000,69179-999,Não codificada por logradouros,Total do município
AM,Benjamin Constant,69630-000,69639-999,Não codificada por logradouros,Total do município
AM,Beruri,69430-000,69434-999,Não codificada por logradouros,Total do município
AM,Boa Vista do Ramos,69220-000,69229-999,Codificado por logradouros,Total do município
AM,Boa Vista do Ramos,69220-001,69222-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Boca do Acre,69850-000,69859-999,Não codificada por logradouros,Total do município
AM,Borba,69200-000,69219-999,Não codificada por logradouros,Total do município
AM,Caapiranga,69425-000,69429-999,Não codificada por logradouros,Total do município
AM,Canutama,69820-000,69829-999,Não codificada por logradouros,Total do município
AM,Carauari,69500-000,69509-999,Não codificada por logradouros,Total do município
AM,Careiro,69250-000,69254-999,Não codificada por logradouros,Total do município
AM,Careiro da Várzea,69255-000,69259-999,Não codificada por logradouros,Total do município
AM,Coari,69460-000,69469-999,Codificado por logradouros,Total do município
AM,Coari,69460-001,69465-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Codajás,69450-000,69459-999,Não codificada por logradouros,Total do município
AM,Eirunepé,69880-000,69889-999,Não codificada por logradouros,Total do município
AM,Envira,69870-000,69879-999,Não codificada por logradouros,Total do município
AM,Fonte Boa,69670-000,69679-999,Não codificada por logradouros,Total do município
AM,Guajará,69895-000,69899-999,Não codificada por logradouros,Total do município
AM,Humaitá,69800-000,69819-999,Codificado por logradouros,Total do município
AM,Humaitá,69800-001,69808-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Ipixuna,69890-000,69894-999,Não codificada por logradouros,Total do município
AM,Iranduba,69415-000,69424-999,Não codificada por logradouros,Total do município
AM,Itacoatiara,69100-000,69113-999,Codificado por logradouros,Total do município
AM,Itacoatiara,69100-001,69109-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Itamarati,69510-000,69519-999,Não codificada por logradouros,Total do município
AM,Itapiranga,69120-000,69129-999,Não codificada por logradouros,Total do município
AM,Japurá,69495-000,69499-999,Não codificada por logradouros,Total do município
AM,Juruá,69520-000,69529-999,Não codificada por logradouros,Total do município
AM,Jutaí,69660-000,69669-999,Não codificada por logradouros,Total do município
AM,Lábrea,69830-000,69849-999,Não codificada por logradouros,Total do município
AM,Manacapuru,69400-000,69414-999,Codificado por logradouros,Total do município
AM,Manacapuru,69400-001,69409-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Manaquiri,69435-000,69439-999,Não codificada por logradouros,Total do município
AM,Manaus,69000-000,69099-999,Codificado por logradouros,Total do município
AM,Manaus,69000-001,69099-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Manicoré,69280-000,69299-999,Não codificada por logradouros,Total do município
AM,Maraã,69490-000,69494-999,Não codificada por logradouros,Total do município
AM,Maués,69190-000,69199-999,Codificado por logradouros,Total do município
AM,Maués,69190-001,69191-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Maués,69193-001,69194-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Nhamundá,69140-000,69149-999,Codificado por logradouros,Total do município
AM,Nhamundá,69140-001,69140-999,Codificada por logradouros,Exclusiva da sede urbana
AM,Nova Olinda do Norte,69230-000,69239-999,Não codificada por logradouros,Total do município
